,Season,Age,Squad,Country,Comp,LgRank,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt,Matches
0,2002-2003,25,"('Académica', '/en/squads/0a6f766c/2002-2003/c32/Academica-Stats-Primeira-Liga')","('POR', '/en/country/POR/Portugal-Football')","('Primeira Liga', '/en/comps/32/2002-2003/2002-2003-Primeira-Liga-Stats')",15th,8.4,2,,7,,,0.83,,0.29,,0,0,"('Matches', '/en/players/40409f09/matchlogs/2002-2003/summary/Paulo-Adriano-Match-Logs')"
1,2003-2004,26,"('Académica', '/en/squads/0a6f766c/2003-2004/c32/Academica-Stats-Primeira-Liga')","('POR', '/en/country/POR/Portugal-Football')","('Primeira Liga', '/en/comps/32/2003-2004/2003-2004-Primeira-Liga-Stats')",13th,15.1,3,,9,,,0.60,,0.22,,1,1,"('Matches', '/en/players/40409f09/matchlogs/2003-2004/summary/Paulo-Adriano-Match-Logs')"
2,2004-2005,27,"('Académica', '/en/squads/0a6f766c/2004-2005/c32/Academica-Stats-Primeira-Liga')","('POR', '/en/country/POR/Portugal-Football')","('Primeira Liga', '/en/comps/32/2004-2005/2004-2005-Primeira-Liga-Stats')",14th,20.9,3,,12,,,0.57,,0.25,,0,0,"('Matches', '/en/players/40409f09/matchlogs/2004-2005/summary/Paulo-Adriano-Match-Logs')"
3,2005-2006,28,"('Académica', '/en/squads/0a6f766c/2005-2006/c32/Academica-Stats-Primeira-Liga')","('POR', '/en/country/POR/Portugal-Football')","('Primeira Liga', '/en/comps/32/2005-2006/2005-2006-Primeira-Liga-Stats')",13th,13.1,0,,6,,,0.46,,0.00,,0,0,"('Matches', '/en/players/40409f09/matchlogs/2005-2006/summary/Paulo-Adriano-Match-Logs')"
4,2008-2009,31,"('Brașov', '/en/squads/36ef1f2e/2008-2009/c47/Brasov-Stats-Liga-I')","('ROU', '/en/country/ROU/Romania-Football')","('Liga I', '/en/comps/47/2008-2009/2008-2009-Liga-I-Stats')",9th,24.5,0,,10,,,0.41,,0.00,,0,1,
