,Season,Age,Squad,Country,Comp,LgRank,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
0,2017-2018,17,"('Norwich City', '/en/squads/8de86c22/2017-2018/c853/Norwich-City-U23-Stats-Premier-League-2----Division-2')","('ENG', '/en/country/ENG/England-Football')","('PL2 — Div. 2', '/en/comps/853/2017-2018/2017-2018-Premier-League-2----Division-2-Stats')",7th,14.7,0,,,,,,,,,,0,0,,,,,,"('Matches', '/en/players/774cf58b/matchlogs/2017-2018/summary/Max-Aarons-Match-Logs')"
1,2018-2019,18,"('Norwich City', '/en/squads/1c781004/2018-2019/c10/Norwich-City-Stats-Championship')","('ENG', '/en/country/ENG/England-Football')","('Championship', '/en/comps/10/2018-2019/2018-2019-Championship-Stats')",1st,40.7,2,24,7,29.2,0.59,0.17,0.08,0.29,17.4,0,0,0,2.6,2.6,0.11,-0.6,-0.6,"('Matches', '/en/players/774cf58b/matchlogs/2018-2019/summary/Max-Aarons-Match-Logs')"
2,2019-2020,19,"('Norwich City', '/en/squads/1c781004/2019-2020/c9/Norwich-City-Stats-Premier-League')","('ENG', '/en/country/ENG/England-Football')","('Premier League', '/en/comps/9/2019-2020/2019-2020-Premier-League-Stats')",20th,36.0,0,14,4,28.6,0.39,0.11,0.00,0.00,17.2,0,0,0,0.6,0.6,0.04,-0.6,-0.6,"('Matches', '/en/players/774cf58b/matchlogs/2019-2020/summary/Max-Aarons-Match-Logs')"
3,2020-2021,20,"('Norwich City', '/en/squads/1c781004/2020-2021/c10/Norwich-City-Stats-Championship')","('ENG', '/en/country/ENG/England-Football')","('Championship', '/en/comps/10/2020-2021/2020-2021-Championship-Stats')",1st,45.0,2,28,8,28.6,0.62,0.18,0.07,0.25,17.5,0,0,0,2.4,2.4,0.08,-0.4,-0.4,"('Matches', '/en/players/774cf58b/matchlogs/2020-2021/summary/Max-Aarons-Match-Logs')"
4,2021-2022,21,"('Norwich City', '/en/squads/1c781004/2021-2022/c9/Norwich-City-Stats-Premier-League')","('ENG', '/en/country/ENG/England-Football')","('Premier League', '/en/comps/9/2021-2022/2021-2022-Premier-League-Stats')",20th,32.0,0,13,2,15.4,0.41,0.06,0.00,0.00,19.9,0,0,0,0.9,0.9,0.07,-0.9,-0.9,"('Matches', '/en/players/774cf58b/matchlogs/2021-2022/summary/Max-Aarons-Match-Logs')"
5,2022-2023,22,"('Norwich City', '/en/squads/1c781004/2022-2023/c10/Norwich-City-Stats-Championship')","('ENG', '/en/country/ENG/England-Football')","('Championship', '/en/comps/10/Championship-Stats')",5th,20.8,1,8,1,12.5,0.39,0.05,0.13,1.00,17.0,0,0,0,0.4,0.4,0.05,+0.6,+0.6,"('Matches', '/en/players/774cf58b/matchlogs/2022-2023/summary/Max-Aarons-Match-Logs')"
