,Season,Age,Squad,Country,Comp,LgRank,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt,Matches
0,2014-2015,20,"('Nacional', '/en/squads/5c9eb756/2014-2015/c32/Nacional-Stats-Primeira-Liga')","('POR', '/en/country/POR/Portugal-Football')","('Primeira Liga', '/en/comps/32/2014-2015/2014-2015-Primeira-Liga-Stats')",7th,2.2,1,,2,,,0.89,,0.50,,0,0,"('Matches', '/en/players/464a35aa/matchlogs/2014-2015/summary/Edgar-Abreu-Match-Logs')"
1,2015-2016,21,"('Nacional', '/en/squads/5c9eb756/2015-2016/c32/Nacional-Stats-Primeira-Liga')","('POR', '/en/country/POR/Portugal-Football')","('Primeira Liga', '/en/comps/32/2015-2016/2015-2016-Primeira-Liga-Stats')",11th,1.6,0,,0,,,0.00,,,,0,0,"('Matches', '/en/players/464a35aa/matchlogs/2015-2016/summary/Edgar-Abreu-Match-Logs')"
