,Season,Age,Squad,Country,Comp,LgRank,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
0,2020-2021,18,"('Wigan Athletic', '/en/squads/e59ddc76/2020-2021/c15/Wigan-Athletic-Stats-League-One')","('ENG', '/en/country/ENG/England-Football')","('League One', '/en/comps/15/2020-2021/2020-2021-League-One-Stats')",20th,14.4,3,24,7,29.2,1.67,0.49,0.13,0.43,,,0,0,,,,,,"('Matches', '/en/players/c88a28b9/matchlogs/2020-2021/summary/Thelo-Aasgaard-Match-Logs')"
1,2021-2022,19,"('Wigan Athletic', '/en/squads/e59ddc76/2021-2022/c15/Wigan-Athletic-Stats-League-One')","('ENG', '/en/country/ENG/England-Football')","('League One', '/en/comps/15/2021-2022/2021-2022-League-One-Stats')",1st,1.8,1,6,1,16.7,3.29,0.55,0.17,1.00,,,0,0,,,,,,"('Matches', '/en/players/c88a28b9/matchlogs/2021-2022/summary/Thelo-Aasgaard-Match-Logs')"
2,2022-2023,20,"('Wigan Athletic', '/en/squads/e59ddc76/2022-2023/c10/Wigan-Athletic-Stats-Championship')","('ENG', '/en/country/ENG/England-Football')","('Championship', '/en/comps/10/Championship-Stats')",23rd,6.8,1,14,2,14.3,2.05,0.29,0.07,0.50,21.0,0,0,0,0.8,0.8,0.05,+0.2,+0.2,"('Matches', '/en/players/c88a28b9/matchlogs/2022-2023/summary/Thelo-Aasgaard-Match-Logs')"
