,Season,Age,Squad,Country,Comp,LgRank,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Matches
0,2020-2021,18,"('Wigan Athletic', '/en/squads/e59ddc76/2020-2021/c15/Wigan-Athletic-Stats-League-One')","('ENG', '/en/country/ENG/England-Football')","('League One', '/en/comps/15/2020-2021/2020-2021-League-One-Stats')",20th,14.4,,,,,,2,,,,,,,,,"('Matches', '/en/players/c88a28b9/matchlogs/2020-2021/passing/Thelo-Aasgaard-Match-Logs')"
1,2021-2022,19,"('Wigan Athletic', '/en/squads/e59ddc76/2021-2022/c15/Wigan-Athletic-Stats-League-One')","('ENG', '/en/country/ENG/England-Football')","('League One', '/en/comps/15/2021-2022/2021-2022-League-One-Stats')",1st,1.8,,,,,,1,,,,,,,,,"('Matches', '/en/players/c88a28b9/matchlogs/2021-2022/passing/Thelo-Aasgaard-Match-Logs')"
2,2022-2023,20,"('Wigan Athletic', '/en/squads/e59ddc76/2022-2023/c10/Wigan-Athletic-Stats-Championship')","('ENG', '/en/country/ENG/England-Football')","('Championship', '/en/comps/10/Championship-Stats')",23rd,6.8,15,24,62.5,2589,338,1,0.5,0.7,+0.5,2,9,3,2,5,"('Matches', '/en/players/c88a28b9/matchlogs/2022-2023/passing/Thelo-Aasgaard-Match-Logs')"
