,Season,Age,Squad,Country,Comp,LgRank,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Matches
0,2017-2018,17,"('Norwich City', '/en/squads/8de86c22/2017-2018/c853/Norwich-City-U23-Stats-Premier-League-2----Division-2')","('ENG', '/en/country/ENG/England-Football')","('PL2 — Div. 2', '/en/comps/853/2017-2018/2017-2018-Premier-League-2----Division-2-Stats')",7th,14.7,,,,,,1,,,,,,,,,"('Matches', '/en/players/774cf58b/matchlogs/2017-2018/passing/Max-Aarons-Match-Logs')"
1,2018-2019,18,"('Norwich City', '/en/squads/1c781004/2018-2019/c10/Norwich-City-Stats-Championship')","('ENG', '/en/country/ENG/England-Football')","('Championship', '/en/comps/10/2018-2019/2018-2019-Championship-Stats')",1st,40.7,57,173,32.9,25468,10346,6,4.6,4.7,+1.4,31,111,34,9,128,"('Matches', '/en/players/774cf58b/matchlogs/2018-2019/passing/Max-Aarons-Match-Logs')"
2,2019-2020,19,"('Norwich City', '/en/squads/1c781004/2019-2020/c9/Norwich-City-Stats-Premier-League')","('ENG', '/en/country/ENG/England-Football')","('Premier League', '/en/comps/9/2019-2020/2019-2020-Premier-League-Stats')",20th,36.0,49,121,40.5,17879,5689,1,3.9,2.8,-2.9,23,55,28,12,54,"('Matches', '/en/players/774cf58b/matchlogs/2019-2020/passing/Max-Aarons-Match-Logs')"
3,2020-2021,20,"('Norwich City', '/en/squads/1c781004/2020-2021/c10/Norwich-City-Stats-Championship')","('ENG', '/en/country/ENG/England-Football')","('Championship', '/en/comps/10/2020-2021/2020-2021-Championship-Stats')",1st,45.0,164,310,52.9,34006,9045,2,5.4,6.3,-3.4,61,99,68,27,118,"('Matches', '/en/players/774cf58b/matchlogs/2020-2021/passing/Max-Aarons-Match-Logs')"
4,2021-2022,21,"('Norwich City', '/en/squads/1c781004/2021-2022/c9/Norwich-City-Stats-Premier-League')","('ENG', '/en/country/ENG/England-Football')","('Premier League', '/en/comps/9/2021-2022/2021-2022-Premier-League-Stats')",20th,32.0,57,160,35.6,16588,6133,2,1.6,1.7,+0.4,20,50,37,9,86,"('Matches', '/en/players/774cf58b/matchlogs/2021-2022/passing/Max-Aarons-Match-Logs')"
5,2022-2023,22,"('Norwich City', '/en/squads/1c781004/2022-2023/c10/Norwich-City-Stats-Championship')","('ENG', '/en/country/ENG/England-Football')","('Championship', '/en/comps/10/Championship-Stats')",5th,20.8,62,135,45.9,17177,5619,1,0.9,1.3,+0.1,16,70,29,11,89,"('Matches', '/en/players/774cf58b/matchlogs/2022-2023/passing/Max-Aarons-Match-Logs')"
