,Season,Age,Squad,Country,Comp,LgRank,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Matches
0,2020-2021,16,"('Reading', '/en/squads/67909e74/2020-2021/c853/Reading-U23-Stats-Premier-League-2----Division-2')","('ENG', '/en/country/ENG/England-Football')","('PL2 — Div. 2', '/en/comps/853/2020-2021/2020-2021-Premier-League-2----Division-2-Stats')",8th,6.6,,,,,,0,,,,,,,,,"('Matches', '/en/players/33f40a36/matchlogs/2020-2021/passing/Nelson-Abbey-Match-Logs')"
1,2021-2022,17,"('Reading', '/en/squads/67909e74/2021-2022/c853/Reading-U23-Stats-Premier-League-2----Division-2')","('ENG', '/en/country/ENG/England-Football')","('PL2 — Div. 2', '/en/comps/853/2021-2022/2021-2022-Premier-League-2----Division-2-Stats')",14th,3.3,,,,,,0,,,,,,,,,"('Matches', '/en/players/33f40a36/matchlogs/2021-2022/passing/Nelson-Abbey-Match-Logs')"
2,2022-2023,18,"('Reading', '/en/squads/b0ac61ff/2022-2023/c10/Reading-Stats-Championship')","('ENG', '/en/country/ENG/England-Football')","('Championship', '/en/comps/10/Championship-Stats')",11th,0.0,0,0,,17,13,0,0.0,0.0,0.0,0,0,0,0,1,"('Matches', '/en/players/33f40a36/matchlogs/2022-2023/passing/Nelson-Abbey-Match-Logs')"
