,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,G+A,G+A-PK,Matches
0,2006-2007,20,"('Marítimo', '/en/squads/c1b0f61b/2006-2007/c32/Maritimo-Stats-Primeira-Liga')","('POR', '/en/country/POR/Portugal-Football')","('Primeira Liga', '/en/comps/32/2006-2007/2006-2007-Primeira-Liga-Stats')",11th,4,0,115,1.3,0.00,0.00,0.00,0,0,1,0,0.00,0.00,"('Matches', '/en/players/ff3e4238/matchlogs/2006-2007/summary/Goncalo-Abreu-Match-Logs')"
1,2007-2008,21,"('Marítimo', '/en/squads/c1b0f61b/2007-2008/c32/Maritimo-Stats-Primeira-Liga')","('POR', '/en/country/POR/Portugal-Football')","('Primeira Liga', '/en/comps/32/2007-2008/2007-2008-Primeira-Liga-Stats')",5th,1,0,18,0.2,0.00,0.00,0.00,0,0,0,0,0.00,0.00,"('Matches', '/en/players/ff3e4238/matchlogs/2007-2008/summary/Goncalo-Abreu-Match-Logs')"
2,2008-2009,22,"('Marítimo', '/en/squads/c1b0f61b/2008-2009/c32/Maritimo-Stats-Primeira-Liga')","('POR', '/en/country/POR/Portugal-Football')","('Primeira Liga', '/en/comps/32/2008-2009/2008-2009-Primeira-Liga-Stats')",9th,1,1,45,0.5,0.00,0.00,0.00,0,0,0,0,0.00,0.00,"('Matches', '/en/players/ff3e4238/matchlogs/2008-2009/summary/Goncalo-Abreu-Match-Logs')"
3,2012-2013,26,"('Marítimo', '/en/squads/c1b0f61b/2012-2013/c32/Maritimo-Stats-Primeira-Liga')","('POR', '/en/country/POR/Portugal-Football')","('Primeira Liga', '/en/comps/32/2012-2013/2012-2013-Primeira-Liga-Stats')",10th,3,1,94,1.0,0.00,0.00,0.00,0,0,0,0,0.00,0.00,"('Matches', '/en/players/ff3e4238/matchlogs/2012-2013/summary/Goncalo-Abreu-Match-Logs')"
