,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,G+A,G+A-PK,xG,npxG,xAG,npxG+xAG,xG+xAG,Matches
0,2017-2018,17,"('Norwich City', '/en/squads/8de86c22/2017-2018/c853/Norwich-City-U23-Stats-Premier-League-2----Division-2')","('ENG', '/en/country/ENG/England-Football')","('PL2 — Div. 2', '/en/comps/853/2017-2018/2017-2018-Premier-League-2----Division-2-Stats')",7th,15,15,"1,319",14.7,0.00,0.07,0.00,0,0,2,0,0.07,0.07,,,,,,"('Matches', '/en/players/774cf58b/matchlogs/2017-2018/summary/Max-Aarons-Match-Logs')"
1,2018-2019,18,"('Norwich City', '/en/squads/1c781004/2018-2019/c10/Norwich-City-Stats-Championship')","('ENG', '/en/country/ENG/England-Football')","('Championship', '/en/comps/10/2018-2019/2018-2019-Championship-Stats')",1st,41,41,"3,664",40.7,0.05,0.15,0.05,0,0,8,0,0.20,0.20,0.06,0.06,0.11,0.18,0.18,"('Matches', '/en/players/774cf58b/matchlogs/2018-2019/summary/Max-Aarons-Match-Logs')"
2,2019-2020,19,"('Norwich City', '/en/squads/1c781004/2019-2020/c9/Norwich-City-Stats-Premier-League')","('ENG', '/en/country/ENG/England-Football')","('Premier League', '/en/comps/9/2019-2020/2019-2020-Premier-League-Stats')",20th,36,36,"3,240",36.0,0.00,0.03,0.00,0,0,7,0,0.03,0.03,0.02,0.02,0.11,0.12,0.12,"('Matches', '/en/players/774cf58b/matchlogs/2019-2020/summary/Max-Aarons-Match-Logs')"
3,2020-2021,20,"('Norwich City', '/en/squads/1c781004/2020-2021/c10/Norwich-City-Stats-Championship')","('ENG', '/en/country/ENG/England-Football')","('Championship', '/en/comps/10/2020-2021/2020-2021-Championship-Stats')",1st,45,45,"4,046",45.0,0.04,0.04,0.04,0,0,5,0,0.09,0.09,0.05,0.05,0.12,0.17,0.17,"('Matches', '/en/players/774cf58b/matchlogs/2020-2021/summary/Max-Aarons-Match-Logs')"
4,2021-2022,21,"('Norwich City', '/en/squads/1c781004/2021-2022/c9/Norwich-City-Stats-Premier-League')","('ENG', '/en/country/ENG/England-Football')","('Premier League', '/en/comps/9/2021-2022/2021-2022-Premier-League-Stats')",20th,34,32,"2,881",32.0,0.00,0.06,0.00,0,0,8,0,0.06,0.06,0.03,0.03,0.05,0.08,0.08,"('Matches', '/en/players/774cf58b/matchlogs/2021-2022/summary/Max-Aarons-Match-Logs')"
5,2022-2023,22,"('Norwich City', '/en/squads/1c781004/2022-2023/c10/Norwich-City-Stats-Championship')","('ENG', '/en/country/ENG/England-Football')","('Championship', '/en/comps/10/Championship-Stats')",5th,22,21,"1,870",20.8,0.05,0.05,0.05,0,0,4,0,0.10,0.10,0.02,0.02,0.04,0.06,0.06,"('Matches', '/en/players/774cf58b/matchlogs/2022-2023/summary/Max-Aarons-Match-Logs')"
