,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,G+A,G+A-PK
0,2002-2003,24,"('Northampton', '/en/squads/986a26c1/2002-2003/c15/Northampton-Town-Stats-League-One')","('ENG', '/en/country/ENG/England-Football')","('Second Division', '/en/comps/15/2002-2003/2002-2003-League-One-Stats')",24th,5,4,373,4.1,0.00,0.00,0.00,0,0,0,0,0.00,0.00
1,2004-2005,26,"('Boston United', '/en/squads/74a48ef5/2004-2005/c16/Boston-United-Stats-League-Two')","('ENG', '/en/country/ENG/England-Football')","('League Two', '/en/comps/16/2004-2005/2004-2005-League-Two-Stats')",16th,44,44,"3,960",44.0,0.00,0.00,0.00,0,0,3,0,0.00,0.00
2,2005-2006,27,"('Boston United', '/en/squads/74a48ef5/2005-2006/c16/Boston-United-Stats-League-Two')","('ENG', '/en/country/ENG/England-Football')","('League Two', '/en/comps/16/2005-2006/2005-2006-League-Two-Stats')",11th,17,17,"1,530",17.0,0.00,0.00,0.00,0,0,1,1,0.00,0.00
3,2006-2007,28,"('Torquay United', '/en/squads/02d8c2aa/2006-2007/c16/Torquay-United-Stats-League-Two')","('ENG', '/en/country/ENG/England-Football')","('League Two', '/en/comps/16/2006-2007/2006-2007-League-Two-Stats')",24th,24,24,"2,152",23.9,0.00,0.00,0.00,0,0,0,0,0.00,0.00
4,2006-2007,28,"('Brentford', '/en/squads/cd051869/2006-2007/c15/Brentford-Stats-League-One')","('ENG', '/en/country/ENG/England-Football')","('League One', '/en/comps/15/2006-2007/2006-2007-League-One-Stats')",24th,16,16,"1,440",16.0,0.00,0.00,0.00,0,0,1,0,0.00,0.00
5,2008-2009,30,"('MK Dons', '/en/squads/fcf5b1e1/2008-2009/c15/Milton-Keynes-Dons-Stats-League-One')","('ENG', '/en/country/ENG/England-Football')","('League One', '/en/comps/15/2008-2009/2008-2009-League-One-Stats')",3rd,1,0,60,0.7,0.00,0.00,0.00,0,0,0,0,0.00,0.00
6,2009-2010,31,"('R&D', '/en/squads/26f3c471/2009-2010/c34/Rushden-and-Diamonds-Stats-National-League')","('ENG', '/en/country/ENG/England-Football')","('Conf Premier', '/en/comps/34/2009-2010/2009-2010-National-League-Stats')",4th,11,11,990,11.0,0.00,0.00,0.00,0,0,2,0,0.00,0.00
7,2009-2010,31,"('Kettering Town', '/en/squads/31a305e0/2009-2010/c34/Kettering-Town-Stats-National-League')","('ENG', '/en/country/ENG/England-Football')","('Conf Premier', '/en/comps/34/2009-2010/2009-2010-National-League-Stats')",6th,18,18,"1,620",18.0,0.00,0.00,0.00,0,0,2,0,0.00,0.00
8,2010-2011,32,"('Kettering Town', '/en/squads/31a305e0/2010-2011/c34/Kettering-Town-Stats-National-League')","('ENG', '/en/country/ENG/England-Football')","('Conf Premier', '/en/comps/34/2010-2011/2010-2011-National-League-Stats')",15th,11,11,990,11.0,0.00,0.00,0.00,0,0,1,0,0.00,0.00
