,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,G+A,G+A-PK,Matches
0,2002-2003,25,"('Académica', '/en/squads/0a6f766c/2002-2003/c32/Academica-Stats-Primeira-Liga')","('POR', '/en/country/POR/Portugal-Football')","('Primeira Liga', '/en/comps/32/2002-2003/2002-2003-Primeira-Liga-Stats')",15th,15,8,760,8.4,0.24,0.12,0.24,0,0,2,1,0.36,0.36,"('Matches', '/en/players/40409f09/matchlogs/2002-2003/summary/Paulo-Adriano-Match-Logs')"
1,2003-2004,26,"('Académica', '/en/squads/0a6f766c/2003-2004/c32/Academica-Stats-Primeira-Liga')","('POR', '/en/country/POR/Portugal-Football')","('Primeira Liga', '/en/comps/32/2003-2004/2003-2004-Primeira-Liga-Stats')",13th,23,17,"1,360",15.1,0.20,0.20,0.13,1,1,0,0,0.40,0.33,"('Matches', '/en/players/40409f09/matchlogs/2003-2004/summary/Paulo-Adriano-Match-Logs')"
2,2004-2005,27,"('Académica', '/en/squads/0a6f766c/2004-2005/c32/Academica-Stats-Primeira-Liga')","('POR', '/en/country/POR/Portugal-Football')","('Primeira Liga', '/en/comps/32/2004-2005/2004-2005-Primeira-Liga-Stats')",14th,28,20,"1,883",20.9,0.14,0.05,0.14,0,0,6,0,0.19,0.19,"('Matches', '/en/players/40409f09/matchlogs/2004-2005/summary/Paulo-Adriano-Match-Logs')"
3,2005-2006,28,"('Académica', '/en/squads/0a6f766c/2005-2006/c32/Academica-Stats-Primeira-Liga')","('POR', '/en/country/POR/Portugal-Football')","('Primeira Liga', '/en/comps/32/2005-2006/2005-2006-Primeira-Liga-Stats')",13th,21,14,"1,175",13.1,0.00,0.23,0.00,0,0,3,0,0.23,0.23,"('Matches', '/en/players/40409f09/matchlogs/2005-2006/summary/Paulo-Adriano-Match-Logs')"
4,2008-2009,31,"('Brașov', '/en/squads/36ef1f2e/2008-2009/c47/Brasov-Stats-Liga-I')","('ROU', '/en/country/ROU/Romania-Football')","('Liga I', '/en/comps/47/2008-2009/2008-2009-Liga-I-Stats')",9th,31,25,"2,208",24.5,0.00,0.00,0.00,0,1,5,0,0.00,0.00,
