,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,G+A,G+A-PK,Matches
0,2014-2015,19,"('Chester', '/en/squads/407ae013/2014-2015/c34/Chester-Stats-National-League')","('ENG', '/en/country/ENG/England-Football')","('Conf Premier', '/en/comps/34/2014-2015/2014-2015-National-League-Stats')",12th,16,15,"1,221",13.6,0.07,0.00,0.07,0,0,2,0,0.07,0.07,"('Matches', '/en/players/d6fa48c0/matchlogs/2014-2015/summary/Brad-Abbott-Match-Logs')"
1,2014-2015,19,"('Barnsley', '/en/squads/293cb36b/2014-2015/c15/Barnsley-Stats-League-One')","('ENG', '/en/country/ENG/England-Football')","('League One', '/en/comps/15/2014-2015/2014-2015-League-One-Stats')",11th,5,4,314,3.5,0.00,0.00,0.00,0,0,2,0,0.00,0.00,"('Matches', '/en/players/d6fa48c0/matchlogs/2014-2015/summary/Brad-Abbott-Match-Logs')"
2,2015-2016,20,"('Barnsley', '/en/squads/293cb36b/2015-2016/c15/Barnsley-Stats-League-One')","('ENG', '/en/country/ENG/England-Football')","('League One', '/en/comps/15/2015-2016/2015-2016-League-One-Stats')",6th,0,0,,,,,,,,,,,,"('Matches', '/en/players/d6fa48c0/matchlogs/2015-2016/summary/Brad-Abbott-Match-Logs')"
3,2015-2016,20,"('Barrow', '/en/squads/8efa4cdf/2015-2016/c34/Barrow-Stats-National-League')","('ENG', '/en/country/ENG/England-Football')","('National League', '/en/comps/34/2015-2016/2015-2016-National-League-Stats')",11th,5,1,213,2.4,0.00,0.00,0.00,0,0,0,0,0.00,0.00,"('Matches', '/en/players/d6fa48c0/matchlogs/2015-2016/summary/Brad-Abbott-Match-Logs')"
