,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,G+A,G+A-PK,xG,npxG,xAG,npxG+xAG,xG+xAG,Matches
0,2020-2021,18,"('Wigan Athletic', '/en/squads/e59ddc76/2020-2021/c15/Wigan-Athletic-Stats-League-One')","('ENG', '/en/country/ENG/England-Football')","('League One', '/en/comps/15/2020-2021/2020-2021-League-One-Stats')",20th,33,13,"1,295",14.4,0.21,0.14,0.21,0,0,2,0,0.35,0.35,,,,,,"('Matches', '/en/players/c88a28b9/matchlogs/2020-2021/summary/Thelo-Aasgaard-Match-Logs')"
1,2021-2022,19,"('Wigan Athletic', '/en/squads/e59ddc76/2021-2022/c15/Wigan-Athletic-Stats-League-One')","('ENG', '/en/country/ENG/England-Football')","('League One', '/en/comps/15/2021-2022/2021-2022-League-One-Stats')",1st,5,1,164,1.8,0.55,0.55,0.55,0,0,0,0,1.10,1.10,,,,,,"('Matches', '/en/players/c88a28b9/matchlogs/2021-2022/summary/Thelo-Aasgaard-Match-Logs')"
2,2022-2023,20,"('Wigan Athletic', '/en/squads/e59ddc76/2022-2023/c10/Wigan-Athletic-Stats-Championship')","('ENG', '/en/country/ENG/England-Football')","('Championship', '/en/comps/10/Championship-Stats')",23rd,18,5,615,6.8,0.15,0.15,0.15,0,0,1,0,0.29,0.29,0.11,0.11,0.07,0.18,0.18,"('Matches', '/en/players/c88a28b9/matchlogs/2022-2023/summary/Thelo-Aasgaard-Match-Logs')"
