,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,G+A,G+A-PK,Matches
0,2014-2015,20,"('Nacional', '/en/squads/5c9eb756/2014-2015/c32/Nacional-Stats-Primeira-Liga')","('POR', '/en/country/POR/Portugal-Football')","('Primeira Liga', '/en/comps/32/2014-2015/2014-2015-Primeira-Liga-Stats')",7th,8,3,202,2.2,0.45,0.00,0.45,0,0,1,0,0.45,0.45,"('Matches', '/en/players/464a35aa/matchlogs/2014-2015/summary/Edgar-Abreu-Match-Logs')"
1,2015-2016,21,"('Nacional', '/en/squads/5c9eb756/2015-2016/c32/Nacional-Stats-Primeira-Liga')","('POR', '/en/country/POR/Portugal-Football')","('Primeira Liga', '/en/comps/32/2015-2016/2015-2016-Primeira-Liga-Stats')",11th,4,2,147,1.6,0.00,0.00,0.00,0,0,0,0,0.00,0.00,"('Matches', '/en/players/464a35aa/matchlogs/2015-2016/summary/Edgar-Abreu-Match-Logs')"
