,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,G+A,G+A-PK,xG,npxG,xAG,npxG+xAG,xG+xAG,Matches
0,2020-2021,16,"('Reading', '/en/squads/67909e74/2020-2021/c853/Reading-U23-Stats-Premier-League-2----Division-2')","('ENG', '/en/country/ENG/England-Football')","('PL2 — Div. 2', '/en/comps/853/2020-2021/2020-2021-Premier-League-2----Division-2-Stats')",8th,7,7,592,6.6,0.00,0.00,0.00,0,0,3,1,0.00,0.00,,,,,,"('Matches', '/en/players/33f40a36/matchlogs/2020-2021/summary/Nelson-Abbey-Match-Logs')"
1,2021-2022,17,"('Reading', '/en/squads/67909e74/2021-2022/c853/Reading-U23-Stats-Premier-League-2----Division-2')","('ENG', '/en/country/ENG/England-Football')","('PL2 — Div. 2', '/en/comps/853/2021-2022/2021-2022-Premier-League-2----Division-2-Stats')",14th,7,3,300,3.3,0.00,0.00,0.00,0,0,0,0,0.00,0.00,,,,,,"('Matches', '/en/players/33f40a36/matchlogs/2021-2022/summary/Nelson-Abbey-Match-Logs')"
2,2021-2022,17,"('Reading', '/en/squads/b0ac61ff/2021-2022/c10/Reading-Stats-Championship')","('ENG', '/en/country/ENG/England-Football')","('Championship', '/en/comps/10/2021-2022/2021-2022-Championship-Stats')",21st,0,0,,,,,,,,,,,,,,,,,"('Matches', '/en/players/33f40a36/matchlogs/2021-2022/summary/Nelson-Abbey-Match-Logs')"
3,2022-2023,18,"('Reading', '/en/squads/b0ac61ff/2022-2023/c10/Reading-Stats-Championship')","('ENG', '/en/country/ENG/England-Football')","('Championship', '/en/comps/10/Championship-Stats')",11th,1,0,4,0.0,0.00,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"('Matches', '/en/players/33f40a36/matchlogs/2022-2023/summary/Nelson-Abbey-Match-Logs')"
